authors,title
Jack Higgins,"Eye of the Storm (Sean Dillon, #1)"
Sean Patrick,Nikola Tesla: Imagination and the Man That Invented the 20th Century
Meg Cabot,How to Be Popular
"George Bernard Shaw, Alan Jay Lerner",Pygmalion & My Fair Lady
Mario Puzo,Omerta
Elizabeth Norris,"Unraveling (Unraveling, #1)"
Richard Bach,One
Kate DiCamillo,The Tiger Rising
Mercedes Lackey,Magic's Price (Valdemar: Last Herald-Mage #3)
George R.R. Martin,"The Hedge Knight (The Tales of Dunk and Egg, #1)"
Agatha Christie,"After the Funeral (Hercule Poirot, #29)"
"Mark Millar, J.G. Jones, Brian K. Vaughan",Wanted
"Tsugumi Ohba, Takeshi Obata","Death Note, Vol. 8: Target (Death Note, #8)"
"Chris Claremont, John Byrne",X-Men: The Dark Phoenix Saga
"Noam Chomsky, Edward S. Herman",Manufacturing Consent: The Political Economy of the Mass Media
"Astrid Lindgren, Gerry Bothmer",Pippi in the South Seas
Horace Walpole,The Castle of Otranto
Cormac McCarthy,Outer Dark
Kresley Cole,"Endless Knight (The Arcana Chronicles, #2)"
Gene Wolfe,Shadow & Claw (The Book of the New Sun #1-2)
Julia Pierpont,Among the Ten Thousand Things
Hunter S. Thompson,"The Great Shark Hunt: Strange Tales from a Strange Time (The Gonzo Papers, #1)"
"Anne Sexton, Maxine Kumin",The Complete Poems
Kim Stanley Robinson,2312
Sharon M. Draper,"Tears of a Tiger (Hazelwood High, #1)"
James Rollins,Altar of Eden
Bisco Hatori,"Ouran High School Host Club, Vol. 2 (Ouran High School Host Club, #2)"
"Michael Buckley, Peter Ferguson","The Problem Child (The Sisters Grimm, #3)"
David Hackett Fischer,Washington's Crossing
Salman Rushdie,Shalimar the Clown
"Waris Dirie, Cathleen Miller",Desert Flower
Eric S. Nylund,Halo: First Strike
Natasha Preston,"Broken Silence (Silence, #2)"
"Tom Peters, Robert H. Waterman Jr.",In Search of Excellence: Lessons from America's Best-Run Companies
"James Patterson, Emily Raymond",First Love
"Bill Finger, Gardner F. Fox, Bob Kane, Jerry Robinson, Sheldon Moldoff","The Batman Chronicles, Vol. 1"
Eric Blehm,Fearless: The Heroic Story of One Navy SEAL's Sacrifice in the Hunt for Osama Bin Laden and the Unwavering Devotion of the Woman Who Loved Him
Lisa Tawn Bergren,"Waterfall (River of Time, #1)"
Rachel Joyce,"The Love Song of Miss Queenie Hennessy (Harold Fry, #2)"
Terry Brooks,"Morgawr (The Voyage of the Jerle Shannara, #3)"
Rosamunde Pilcher,September
"Isaac Asimov, Bob E. Flick, Jim Gallant",The Last Question
"Saul Bellow, Luciano Bianciardi",Henderson the Rain King
Erica Jong,Fear of Flying
"Sarah Blakley-Cartwright, David Leslie Johnson, Catherine Hardwicke",Red Riding Hood
Rashmi Bansal,Stay Hungry Stay Foolish
"Roald Dahl, Quentin Blake",The Giraffe and the Pelly and Me
Nickolas Butler,Shotgun Lovesongs
Conn Iggulden,"The Death of Kings (Emperor, #2)"
Mireille Guiliano,French Women Don't Get Fat: The Secret of Eating for Pleasure
Laura Whitcomb,"A Certain Slant of Light (Light, #1)"
Scott Westerfeld,"The Uglies Trilogy (Uglies, #1-3)"
Greg Iles,The Bone Tree
Jeffrey Archer,False Impression
"pleasefindthis, Iain S. Thomas, Jon Ellis",I Wrote This For You
"Ina Garten, Quentin Bacon",Barefoot in Paris
Masashi Kishimoto,"Naruto, Vol. 05: Exam Hell (Naruto, #5)"
Louise Rennison,"Away Laughing on a Fast Camel (Confessions of Georgia Nicolson, #5)"
Natasha Anders,"The Unwanted Wife (Unwanted, #1)"
Emma Chase,"Royally Screwed (Royally, #1)"
Anna Godbersen,"Splendor (Luxe, #4)"
Charlotte Brontë,The Professor
Chloe Neill,"Drink Deep (Chicagoland Vampires, #5)"
غسان كنفاني,رجال في الشمس
"Hans Christian Andersen, Lisbeth Zwerger, Anthea Bell",The Little Mermaid
Meg Cabot,"Big Boned (Heather Wells, #3)"
Jack Kerouac,The Subterraneans
"Angela Elwell Hunt, Tim Jonke",The Tale of Three Trees
Frank Miller,"Sin City, Vol. 3: The Big Fat Kill (Sin City, #3)"
Agatha Christie,"The Moving Finger (Miss Marple, #4)"
Patricia Cornwell,"Hornet's Nest (Andy Brazil, #1)"
"John Eldredge, Brent Curtis",The Sacred Romance Drawing Closer To The Heart Of God
Louis Sachar,There's a Boy in the Girls' Bathroom
Katie McGarry,"Crash into You (Pushing the Limits, #3)"
Edmund Morris,Colonel Roosevelt
"William Carlos Williams, Charles Tomlinson",Selected Poems
Timothy Zahn,"Vision of the Future (Star Wars: The Hand of Thrawn, #2)"
Haruki Murakami,"1Q84 BOOK 2 (1Q84, #2)"
Ali Smith,How to Be Both
Meg Cabot,"Princess on the Brink (The Princess Diaries, #8)"
"Thomas Hardy, Patricia Ingham",The Woodlanders
Jane Green,Tempting Fate
Barbara Delinsky,While My Sister Sleeps
Mark Bowden,Killing Pablo: The Hunt for the World's Greatest Outlaw
Chris Cleave,Gold
Lesley Livingston,"Wondrous Strange (Wondrous Strange, #1)"
Franklin Foer,How Soccer Explains the World
"Fernando Pessoa, Richard Zenith",The Book of Disquiet
"Geoff Johns, Gary Frank, Jon Sibal, Brad Anderson, Rob Leigh","Batman: Earth One, Volume 1"
"Anne Lamott, Sam Lamott",Some Assembly Required: A Journal of My Son's First Son
MaryJanice Davidson,"Undead and Unappreciated (Undead, #3)"
"Douglas Preston, Lincoln Child","Blue Labyrinth (Pendergast, #14)"
Manning Marable,Malcolm X: A Life of Reinvention
Marlo Morgan,Mutant Message Down Under
Lara Adrian,"Ashes of Midnight (Midnight Breed, #6)"
"Michael Buckley, Peter Ferguson","Once Upon a Crime (The Sisters Grimm, #4)"
Bert Dodson,Keys to Drawing
"Bill Willingham, Mark Buckingham, Steve Leialoha, Andrew Pepoy, Gene Ha, Joshua Middleton, Iñaki Miranda, Mike Allred","Fables, Vol. 9: Sons of Empire"
Karen Chance,"Embrace the Night (Cassandra Palmer, #3)"
Len Deighton,"The Ipcress File (Secret File, #1)"
"Marion Cunningham, Fannie Merritt Farmer, Archibald Candy Corporation",The Fannie Farmer Cookbook: Anniversary
بهاء طاهر,واحة الغروب
Keary Taylor,"Branded (Fall of Angels, #1)"
Flann O'Brien,The Third Policeman
Alexander McCall Smith,"Tea Time for the Traditionally Built (No. 1 Ladies' Detective Agency, #10)"
Erin Hunter,"Starlight (Warriors: The New Prophecy, #4)"
Suzanne Wright,"Feral Sins (The Phoenix Pack, #1)"
"Hergé, Leslie Lonsdale-Cooper, Michael Turner",Tintin in the Land of the Soviets (Tintin #1)
Kathy Reichs,"Flash and Bones (Temperance Brennan, #14)"
Ottessa Moshfegh,Eileen
J.D. Robb,"Creation in Death (In Death, #25)"
Anna Dewdney,Llama Llama Mad at Mama
Karin Slaughter,Cop Town
"Nicholas Ganz, Tristan Manco",Graffiti World: Street Art from Five Continents
Ed Young,Lon Po Po: A Red-Riding Hood Story from China
Anita Amirrezvani,The Blood of Flowers
E. Nesbit,"Five Children and It (Five Children, #1)"
Essam Youssef,2 ضباط
Clive Cussler,"Flood Tide (Dirk Pitt, #14)"
Victoria Schwab,"This Savage Song (Monsters of Verity, #1)"
"L.J. Smith, Kevin Williamson, Julie Plec","Bloodlust (The Vampire Diaries: Stefan's Diaries, #2)"
Nalini Singh,Branded by Fire (Psy-Changeling #6)
Morgan Matson,The Unexpected Everything
"Anne Rampling, Anne Rice",Exit to Eden
"Mary-Jane Knight, Rick Riordan",Percy Jackson & the Olympians:  The Ultimate Guide
G. Willow Wilson,Alif the Unseen
"Robert Foster, J.R.R. Tolkien",The Complete Guide to Middle-Earth
Lucinda Riley,The Orchid House
Amy Harmon,"The Bird and the Sword (The Bird and the Sword Chronicles, #1)"
Terry Brooks,"The Black Unicorn (Magic Kingdom of Landover, #2)"
"Kate Chopin, Cynthia Brantley Johnson, Alyssa  Harad",The Awakening and Selected Stories
Uwem Akpan,Say You're One of Them
Elly Griffiths,"The Crossing Places (Ruth Galloway, #1)"
Roland Smith,Peak (Peak #1)
"Henning Mankell, Ebba Segerberg","One Step Behind  (Kurt Wallander, #7)"
Frederick Forsyth,The Devil's Alternative
Alice Hoffman,Faithful
C.J. Sansom,"Sovereign (Matthew Shardlake, #3)"
Sandra Brown,Envy
"Grant Morrison, Andy Kubert, John Van Fleet, Jesse Delperdang",Batman and Son
Harold McGee,On Food and Cooking: The Science and Lore of the Kitchen
"Michael Buckley, Peter Ferguson","Magic and Other Misdemeanors (The Sisters Grimm, #5)"
Maya Banks,"In Bed with a Highlander (McCabe Trilogy, #1)"
William Styron,The Confessions of Nat Turner
Jodee Blanco,Please Stop Laughing at Me... One Woman's Inspirational Story
Drew Karpyshyn,"Rule of Two (Star Wars: Darth Bane, #2)"
Gemma Burgess,A Girl Like You
Whitney G.,"Sincerely, Carter (Sincerely Carter, #1)"
John Scalzi,The Android's Dream
Isabel Allende,The Stories of Eva Luna
Lama Surya Das,Awakening the Buddha Within: Tibetan Wisdom for the Western World
Edie Claire,Long Time Coming
Sara Zarr,Story of a Girl
Lee Child,High Heat (Jack Reacher #17.5)
Kim van Alkemade,Orphan Number Eight
J.D. Robb,"Delusion in Death (In Death, #35)"
David Weber,"Field of Dishonor (Honor Harrington, #4)"
David Byrne,How Music Works
Mary Kay Andrews,Save the Date
Paul Auster,Oracle Night
Jack Finney,"Time and Again (Time, #1)"
Heather Burch,One Lavender Ribbon
"Nicky Cruz, Jamie Buckingham",Run Baby Run
August Wilson,Fences (The Century Cycle #6)
Richard Wurmbrand,Tortured for Christ N/E
Lynda Cohen Loigman,The Two-Family House
C.S. Lewis,Miracles
"Daniel Coyle, John Farrell","The Talent Code: Unlocking the Secret of Skill in Sports, Art, Music, Math, and Just About Everything Else"
Elizabeth Little,Dear Daughter
Carrie Anne Noble,The Mermaid's Sister
P.G. Wodehouse,"The Inimitable Jeeves (Jeeves, #2)"
"Margaret Weis, Tracy Hickman","Dragons of Summer Flame (Dragonlance: The Second Generation, #2)"
Tom Rob Smith,"The Secret Speech (Leo Demidov, #2)"
Carl Hiaasen,"Star Island (Skink, #6)"
China Miéville,Un Lun Dun
"Tsugumi Ohba, Takeshi Obata","Death Note, Vol. 5: Whiteout (Death Note, #5)"
Richard Castle,"Heat Rises (Nikki Heat, #3)"
David Simon,Homicide: A Year on the Killing Streets
"Benedict Freedman, Nancy Freedman","Mrs. Mike (Mrs. Mike, #1)"
Connor Franta,A Work in Progress
Rene Denfeld,The Enchanted
Paul  Hoffman,"The Left Hand of God (The Left Hand of God, #1)"
Katie Cotugno,How to Love
Adam Gopnik,Paris to the Moon
Jenny Downham,You Against Me
Ann M. Martin,A Dog's Life: The Autobiography of a Stray
Tamora Pierce,"The Will of the Empress (Circle Reforged, #1)"
"Tyler Hamilton, Daniel Coyle","The Secret Race: Inside the Hidden World of the Tour de France: Doping, Cover-ups, and Winning at All Costs"
Ian Fleming,"Doctor No (James Bond, #6)"
"Isabel Allende, Oliver Brock, Frank Wynne",Ripper
Samad Behrangi,ماهی سیاه کوچولو
Robertson Davies,Fifth Business
"Alan    Richardson, Karen Tack","Hello, Cupcake"
Larry Correia,"Monster Hunter Vendetta (Monster Hunter International, #2)"
Maeve Binchy,Nights of Rain and Stars
Lincoln Peirce,"Big Nate on a Roll (Big Nate Novels, #3)"
Catherine Bybee,"Wife by Wednesday (The Weekday Brides, #1)"
"Dick Riley, Pam McAllister, Bruce Cassiday","The New Bedside, Bathtub and Armchair Companion to Agatha Christie"
L.A. Casey,"Dominic (Slater Brothers, #1)"
Kresley Cole,"Shadow's Claim (Immortals After Dark, #13; The Dacians, #1)"
Kelly Corrigan,Glitter and Glue
"Walter Lord, Nathaniel Philbrick",A Night to Remember
Brady Udall,The Lonely Polygamist
Carl Hiaasen,Stormy Weather
"Richard Russo, Arthur Morey",That Old Cape Magic
Maya Banks,"The Darkest Hour (KGI, #1)"
Donald Ray Pollock,The Devil All the Time
Saroo Brierley,A Long Way Home
Erin Hunter,"Twilight (Warriors: The New Prophecy, #5)"
Orhan Pamuk,Istanbul: Memories and the City
"Clare Naylor, Mimi Hare",The Second Assistant: A Tale from the Bottom of the Hollywood Ladder
"Charles Dickens, Patricia Ingham, Hablot Knight Browne",Martin Chuzzlewit
John Marsden,"Darkness, Be My Friend (Tomorrow, #4)"
Stephen King,UR
James A. Michener,Tales of the South Pacific
V.S. Naipaul,A Bend in the River
Matthew Desmond,Evicted: Poverty and Profit in the American City
Sarah J. Maas,"The Assassin and the Empire (Throne of Glass, #0.5)"
Abbi Glines,"Misbehaving (Sea Breeze, #6)"
Genevieve Cogman,"The Invisible Library (The Invisible Library, #1)"
Anne Tyler,Saint Maybe
"Marjane Satrapi, Anjali Singh",Embroideries
Mary Downing Hahn,Deep and Dark and Dangerous (A Ghost Story)
"Melissa Anelli, J.K. Rowling","Harry, a History: The True Story of a Boy Wizard, His Fans, and Life Inside the Harry Potter Phenomenon"
Francisco X. Stork,Marcelo in the Real World
Stephen King,"The Green Mile, Part 4: The Bad Death of Eduard Delacroix"
Tere Liye,Daun Yang Jatuh Tak Pernah Membenci Angin
Brandon Sanderson,"Alcatraz Versus the Evil Librarians (Alcatraz, #1)"
Jeffrey Brown,Darth Vader and Son
Daniel C. Dennett,Darwin's Dangerous Idea: Evolution and the Meanings of Life
Andrzej Sapkowski,"Pani Jeziora (Saga o Wiedźminie, #7)"
C.J. Box,"Open Season (Joe Pickett, #1)"
Shannon Hale,"Palace of Stone (Princess Academy, #2)"
Jill Alexander Essbaum,Hausfrau
Amanda Brown,Legally Blonde
Susan Dennard,"Truthwitch (The Witchlands, #1)"
Gavin Menzies,1421: The Year China Discovered America
"Hope Larson, Madeleine L'Engle",A Wrinkle in Time: The Graphic Novel
Nora Ephron,Heartburn
Liza Klaussmann,Tigers in Red Weather
Ken Follett,Hornet Flight
"Henning Mankell, Laurie Thompson","The White Lioness (Kurt Wallander, #3)"
"Margaret Weis, Tracy Hickman","Elven Star (The Death Gate Cycle, #2)"
Sherman Alexie,Flight
"Ludwig Wittgenstein, G.E.M. Anscombe",Philosophical Investigations
Carrie Jones,"Endure (Need, #4)"
Claire Contreras,"Kaleidoscope Hearts (Hearts, #1)"
Bernard Cornwell,"Enemy of God (The Warlord Chronicles, #2)"
Harper Sloan,"Cage (Corps Security, #2)"
Tarryn Fisher,Mud Vein
"Scott Dikkers, Maria Schneider, John Krewson, Robert Siegel, David Javerbaum, Todd Hanson, Carol Kolb, Mike Loew, Tim Harrod",Our Dumb Century: The Onion Presents 100 Years of Headlines from America's Finest News Source
James Rollins,Ice Hunt
Laurell K. Hamilton,"Strange Candy (Anita Blake, Vampire Hunter #0.5)"
Jeffrey Archer,First Among Equals
Stephen Hawking,Black Holes and Baby Universes
Stephen R. Donaldson,"The Chronicles of Thomas Covenant, the Unbeliever (The Chronicles of Thomas Covenant the Unbeliever, #1-3)"
Nalini Singh,"Archangel's Blade (Guild Hunter, #4)"
Will Durant,The Story of Philosophy: The Lives and Opinions of the World's Greatest Philosophers
Elaine Pagels,The Gnostic Gospels
Jonathan Tropper,How to Talk to a Widower
Edgar Rice Burroughs,"The Gods of Mars (Barsoom, #2)"
"Vince Flynn, Kyle Mills, Armand Schultz","The Survivor (Mitch Rapp, #14)"
Nalini Singh,Kiss of Snow (Psy-Changeling #10)
Roxane Gay,An Untamed State
Tim Winton,Breath
American Psychiatric Association,Diagnostic and Statistical Manual of Mental Disorders DSM-IV-TR
Laurie R. King,"A Monstrous Regiment of Women (Mary Russell, #2)"
Orson Scott Card,"Alvin Journeyman (Tales of Alvin Maker, #4)"
Elizabeth Wein,"Rose Under Fire (Code Name Verity, #2)"
"Kiyohiko Azuma, あずま きよひこ","Yotsuba&!, Vol. 01 (Yotsuba&! #1)"
"Black Elk, John G. Neihardt",Black Elk Speaks: Being the Life Story of a Holy Man of the Oglala Sioux
Ben Mezrich,"The Accidental Billionaires: The Founding of Facebook, a Tale of Sex, Money, Genius and Betrayal"
Jeffery Deaver,"The Sleeping Doll (Kathryn Dance, #1)"
Christine Feehan,"Dark Legend (Dark, #8)"
"Jeph Loeb, Jim Lee, Scott Williams","Batman: Hush, Vol. 1"
Heather Gudenkauf,One Breath Away
Greg Iles,The Devil's Punchbowl
Sara Ryan,"Empress of the World (Battle Hall Davies, #1)"
Jim Butcher,"Welcome to the Jungle (The Dresden Files, #0.5)"
Connie Willis,"Blackout (All Clear, #1)"
Bella Forrest,"A Blaze of Sun (A Shade of Vampire, #5)"
Alice Hoffman,The Red Garden
Jean de Brunhoff,Babar the King
Gordon Korman,Ungifted
Michael Frayn,Noises Off
Harlan Coben,The Final Detail (Myron Bolitar #6)
Dan Simmons,"Olympos (Ilium, #2)"
Tom Standage,A History of the World in 6 Glasses
Karen   White,The Sound of Glass
Robert Hicks,The Widow of the South
Jennifer L. Armentrout,Obsession
"Randy Alcorn, Alex Kendrick, Stephen Kendrick",Courageous
"Kate DiCamillo, Yoko Tanaka",The Magician's Elephant
Anne Tyler,Back When We Were Grownups
James Joyce,The Dead
"محمد المنسي قنديل, Mohamed Mansi Qandil",قمر على سمرقند
Aleatha Romig,"Convicted (Consequences, #3)"
Bree Despain,"The Lost Saint (The Dark Divine, #2)"
Dean Koontz,Relentless
Stephen R. Lawhead,"Taliesin (The Pendragon Cycle, #1)"
Carl Hiaasen,Basket Case
حسن كمال,المرحوم
Orson Scott Card,"The Memory of Earth (Homecoming, #1)"
Dolen Perkins-Valdez,Wench
Karen Chance,"Curse the Dawn (Cassandra Palmer, #4)"
Beth Moore,Praying God's Word: Breaking Free From Spiritual Strongholds
Michael Ondaatje,In the Skin of a Lion
Jodi Picoult,Where There's Smoke
"Jack Welch, John A. Byrne, Mike Barnicle",Jack: Straight from the Gut
Shel Silverstein,The Missing Piece Meets the Big O 
"Milan Kundera, Aaron Asher",Life is Elsewhere
Anna Quindlen,Blessings
Gena Showalter,"Wicked Nights (Angels of the Dark, #1)"
Pittacus Lore,"Six's Legacy (Lorien Legacies: The Lost Files, #1)"
Mercedes Lackey,Magic's Promise (Valdemar: Last Herald-Mage #2)
Lisa Scottoline,Most Wanted
Meg Cabot,"Underworld (Abandon, #2)"
Mark Bittman,Food Matters: A Guide to Conscious Eating with More Than 75 Recipes
Rosamunde Pilcher,Coming Home
"Tim LaHaye, Jerry B. Jenkins","Glorious Appearing: The End of Days (Left Behind, #12)"
خالد الباتلي,ليتها تقرأ
John Sandford,"Silken Prey (Lucas Davenport, #23)"
John Sandford,"Mad River (Virgil Flowers, #6)"
Anita Brookner,Hotel du Lac
Pat Barker,"The Ghost Road (Regeneration, #3)"
Mark Twain,Pudd'nhead Wilson
"Aristotle, Joe Sachs",Metaphysics
Emily Murdoch,If You Find Me
Carl Hiaasen,"Native Tongue (Skink, #2)"
Sandra Dallas,The Persian Pickle Club
Rachel Vincent,"My Soul to Save (Soul Screamers, #2)"
Jill Murphy,"The Worst Witch (Worst Witch, #1)"
"Cynthia Rylant, Stephen Gammell",The Relatives Came
Siri Hustvedt,What I Loved
Andrea Hirata,"Maryamah Karpov: Mimpi-mimpi Lintang (Tetralogi Laskar Pelangi, #4)"
Ellen Hopkins,Tilt
Todd J. McCaffrey,"Dragonheart (Pern, #21)"
J.C. Reed,"Conquer Your Love (Surrender Your Love, #2)"
Brian Jacques,"Pearls of Lutra (Redwall, #9)"
"Ken Robinson, Lou Aronica",The Element: How Finding Your Passion Changes Everything
Geraldine Brooks,The Secret Chord
Rick Riordan,The Staff of Serapis (Percy Jackson & Kane Chronicles Crossover #2)
Amy Harmon,A Different Blue
Chuck Klosterman,Downtown Owl
William C. Dietz,Halo: The Flood
Terry Brooks,"Antrax (Voyage of the Jerle Shannara, #2)"
Billy Collins,Sailing Alone Around the Room: New and Selected Poems
Anna Carey,"Once (Eve, #2)"
Samantha Young,"Into the Deep (Into the Deep, #1)"
Lois McMaster Bujold,"Mirror Dance (Vorkosigan Saga, #8)"
"Jennifer Crusie, Bob Mayer",Agnes and the Hitman
"Apostolos Doxiadis, Christos H. Papadimitriou, Alecos Papadatos, Annie Di Donna",Logicomix: An epic search for truth
Laurent Binet,HHhH
Kate Andersen Brower,The Residence: Inside the Private World of the White House
Jennifer L. Armentrout,"Stone Cold Touch (The Dark Elements, #2)"
Lori Nelson Spielman,The Life List
Kelley Armstrong,"The Rising (Darkness Rising, #3)"
"Thomas Mann, John E. Woods, T.J. Reed",Buddenbrooks: The Decline of a Family
Anton Chekhov,Uncle Vanya
"James Patterson, Richard DiLallo",The Christmas Wedding
T.A. Barron,"The Lost Years (The Lost Years of Merlin, #1)"
Maria V. Snyder,"Storm Glass (Glass, #1)"
"Iris Murdoch, Mary Kinzie","The Sea, the Sea"
Jamie McGuire,"Eden (Providence, #3)"
Margaret Peterson Haddix,"Among the Enemy (Shadow Children, #6)"
Amy A. Bartol,"Incendiary (The Premonition, #4)"
L. Ron Hubbard,Battlefield Earth: A Saga of the Year 3000
Dave Ramsey,Financial Peace Revisited
Mary Higgins Clark,I'll Be Seeing You
Carol Burnett,This Time Together: Laughter and Reflection
Ruth Ozeki,My Year of Meats
Octavia E. Butler,Fledgling
Kristen Ashley,"At Peace (The 'Burg, #2)"
"Samuel Shem, John Updike",The House of God
